,Interests,Citations,H-Index,i10-Index,Coauthors
Chetan Arora,"Computer Vision, Machine Learning",2860,26,57,"['A Subramanian', 'G Jaswal', 'S Singh', 'J Prakash', 'S Anand', 'S Agarwal', 'S Banerjee', 'V Namboodiri', 'S Kalia', 'A Rai', 'D Thapar', 'H Arora', 'R Hebbalaguppe', 'P Gupta', 'A Ephrat', 'S Yadav', 'SN Maheshwari', 'S Basu', 'S Patra', 'P Garg', 'K CVIT', 'M Gupta', 'BL Bhatnagar', 'A Agarwal', 'S Bansal', 'P Kumar', 'VN Balasubramanian', 'CV Jawahar', 'P Rana', '...', 'Y Poleg', 'H Rajgopal', 'N Madan', 'S Verma', 'P Nagar', 'P Kalra', 'K Rangarajan', 'S Peleg', 'A Mangal', 'A Nigam', 'A Gupta', 'C Arora', 'R Saluja', 'T Halperin']"
Parag Singla,"Neuro-Symbolic Reasoning, Machine Learning, Artificial Intelligence",4444,26,48,"['A Pathak', 'V Agrawal', 'A Al Mamun', 'H Poon', 'M Sumner', 'D Garg', 'S Kok', 'D Venugopal', 'K Kulkarni', 'M Richardson', 'D Mandowara', 'I Naim', 'A Nath', 'J Wang', 'J Luo', 'H Kautz', 'AK Mondal', 'D Khandelwal', 'R Mooney', 'S Sarkhel', 'S Aggarwal', 'YC Song', 'AP Prathosh', '...', 'A Gallagher', 'D Lowd', 'PM Domingos', 'P Singla', 'A Bhattacharjee', 'AC Gallagher', 'D Gildea', 'V Gogate', 'Y Nandwani', 'P Domingos']"
Rahul Garg,"Neuroimaging, Machine Learning, Big Data Analytics, Algorithms",4411,30,60,"['S Kapoor', 'I Rish', 'J Spoelstra', 'S Agarwal', 'S Kumar', 'GS Almasi', 'Y Sabharwal', 'GA Cecchi', 'V Khurana', 'JE Moreira', 'N Sharma', 'B Duggal', 'AK Agarwal', 'S Thakral', 'N Modani', 'R Garg', 'N Agarwal', 'P Dubey', 'D Beece', 'A Ritch', 'P Sarkar', 'R Khandekar', 'Y Aridor', 'A Afzulpurkar', 'V Bansal', 'AR Rao', 'M Singh', 'H Saran', 'R Bellofatto', 'A Mishra', 'PA Mittal', 'NK Vishnoi', '...', 'SA Bentur', 'A Agrawal', 'RS Randhawa', 'G Almási', 'S Sen', 'P Heidelberger', 'MS Gupta', 'L Shi', 'VK Garg', 'A Kamra', 'R Barik', 'K Singh', 'PS Sahni', 'A Aggarwal', 'MK Carroll', 'B De Meyer', 'NR Adiga']"
Kolin Paul,"Embedded Systems, Near Data Computing, Accelerators, Healthcare",2790,28,76,"['S Govindarajan', 'RC Deo', 'N Farahini', 'H Tenhunen', 'V Srivastav', 'M Jain', 'K Paul', 'S Jain', 'A Kumar', 'S Kumar', 'SA Frye', 'M Sharma', 'MS Moghaddam', 'SMAH Jafri', 'C Dash', 'M Balakrishnan', 'G Narula', 'TK Kundu', 'P Sharma', 'P Brisk', 'C Agarwal', 'V Singh', 'E Avershina', 'A Hemani', 'G Yadav', 'D Chatterjee', 'FO Ebrahim', 'NS Tripathy', 'N Pothineni', 'A Kapil', 'D Mehra', 'MG Sanal', 'H Singh', 'O Bag', 'NK Ganguly', '...', 'P Ienne', 'P Liu', 'A Suri', 'B Baby', 'M Chowdhary', 'J Plosila', 'R Paul', 'MA Tajammul', 'P Kalra', 'AS Iyer', 'VD Sharma', 'R Devadoss', 'M Tripathi', 'A Pande', 'IN Kar', 'A Gupta', 'AM Taxt', 'D Rajeswari']"
Mausam,"Artificial Intelligence, Neuro-Symbolic AI, Automated Planning, Information Extraction, Knowledge Graph",13163,52,105,"['T Gupta', 'O Etzioni', 'D Verma', 'P Dai', 'S Clark', 'A Fader', 'DS Weld', 'CH Lin', 'A Kolobov', 'J Landar', 'M Schmitz', 'S Soderland', 'NMA Krishnan', 'E Horvitz', 'N Balasubramanian', 'Mausam', '...', 'A Ritter', 'R Bart', 'T Lin', 'S Sanghai', 'E Adar', 'W Cushing', 'R Hoffmann', 'L Chilton', 'M Zaki', 'M Koch', 'S Kambhampati', 'J Christensen', 'N Dalvi', 'J Bragg', 'P Domingos']"
Maya Ramanath,"Database Systems, Information Retrieval",2237,21,33,"['S Bedathur', 'M Yahya', 'P Mylonas', 'M Sydow', 'S Elbassuoni', 'G Kasneci', 'G Cong', 'V Tresp', 'M Sozio', 'F Suchanek', 'G Ifrim', 'Y Sagiv', 'N Sengupta', 'A Bagchi', 'R Awadallah', 'G Drakopoulos', 'G Weikum', 'J Siméon', 'M Ramanath', 'P Bohannon', 'E Kafeza', 'S Sioutas', 'JR Haritsa', 'J Freire', 'FM Suchanek', 'R Schenkel', 'Y Mass', 'K Berberich', 'P Roy']"
Smruti R. Sarangi,"computer architecture, operating systems",5707,25,56,"['H Franke', 'ZB Zhu', 'K Strauss', 'M Mazzara', 'J Tuck', 'P Sethi', 'S Kalyanaraman', 'A Kumar', 'A Thomas', 'A Dhawan', 'H Sultan', 'B Fraguela', 'K Murthy', 'Y Zhou', 'D Moolchandani', 'B Calder', 'P Gupta', 'I Afanasyev', 'A Tiwari', 'M Prvulovic', 'W Liu', 'L Ceze', 'J Torrellas', 'R Teodorescu', 'Q Wang', 'Y Lin', 'S Sarangi', 'J Nakano', 'B Greskamp', 'SR Sarangi', 'D Saha', '...', 'E Peter', 'J Bashir', 'R Kalayappan', 'S Distefano', 'J Renau', 'G Malhotra', 'P Kallurkar', 'M Ahmad', 'A Chauhan', 'S Goel', 'B Carneal', 'V Kumar', 'S Narayanasamy']"
Prem Kalra,"Computer Graphics, Animation, Computer Vision",3765,30,61,"['Z Huang', 'S Hadap', 'N Kwatra', 'PK Kalra', 'RC Deo', 'A LeBlanc', 'A Anand', 'V Srivastav', 'S Jain', 'A Mangili', 'S Kumar', 'U Mudenagudi', 'S Banerjee', 'JL Leveque', 'R Bazin', 'P Hoffmeyer', 'D Batisse', 'W Maurel', 'G Kiss', 'SD Roy', 'R Singh', 'L Boissieux', 'P Gingins', 'B Lintermann', 'N Magnenat-Thalmann', 'M Escher', 'D Thalmann', 'M Vatsa', '...', 'WS Lee', 'P Beylot', 'IS Pandžić', 'T Capin', 'A Suri', 'B Baby', 'NM Thalmann', 'A Aubel', 'P Kalra', 'G Sannier', 'R Boulic', 'Y Wu', 'D Mahajan', 'M Tripathi', 'I Joshi', 'L Moccozet']"
Naveen Garg,"Algorithms and Complexity, Optimization",7030,34,54,"['V Pandit', 'J Mestre', 'S Chaudhuri', 'G Even', 'VN Muralidhara', 'S Anand', 'S Gupta', 'S Jain', 'T Kavitha', 'A Kumar', 'K Munagala', 'Y Dinitz', 'JS Chadha', 'R Khandekar', 'A Louis', 'M Yannakakis', 'VV Vazirani', 'A Meyerson', 'DS Hochbaum', 'N Garg', 'R Ravi', 'G Konjevod', 'K Mehlhorn', 'A Sinha', 'J Könemann', 'S Leonardi', 'P Sankowski', 'V Arya', 'N Gupta', 'MX Goemans', 'A Gupta', 'A Aggarwal', 'M Bansal']"
Preeti Ranjan Panda,"Embedded Systems, Electronic Design Automation, System Level Design, Low Power Design",4436,27,65,"['F Catthoor', 'Dutt', 'A Vandecappelle', 'H Brais', 'A Nicolau', 'K Gummidipudi', 'ND Nicolau', 'H Nakamura', 'S Kurra', 'Panda', 'PR Panda', 'BVN Silpa', 'NK Singh', '...', 'E Brockmeyer', 'R Kalayappan', 'ND Dutt', 'Nicolau', 'A Shrivastava', 'K Danckaert', 'C Kulkarni']"
Sandeep Sen,"Algorithms, Theoretical Computer Science",3252,29,51,"['ID Scherson', 'Y Ma', 'S Chatterjee', 'S Rajasekaran', 'A Shamir', 'A Kumar', 'R Jaiswal', 'R Hariharan', 'JH Reif', 'N Dumir', 'Y Sabharwal', 'M Gupta', 'S Sen', 'S Baswana']"
Vijay Vazirani,"Algorithms, Complexity Theory, Theory of Computing",30994,58,135,"['LG Valiant', 'AP Arkin', 'V Vazirani', 'S Sinha', 'DM Wolf', 'A Saberi', 'R Venkatesan', 'A Mehta', 'M Mihail', 'M Yannakakis', 'VV Vazirani', 'U Vazirani', 'H Saran', 'RM Karp', 'CH Papadimitriou', 'E Markakis', 'S Micali', 'N Garg', 'NR Devanur', 'MR Jerrum', 'DP Williamson', 'K Jain', 'M Mahdian', 'LJ Stockmeyer', 'T Roughgarden', 'UV Vazirani', 'MX Goemans', 'K Mulmuley']"
Rijurekha Sen,"Mobile and embedded systems, mobile privacy and security, applied machine learning, road traffic and pollution measurements",2705,18,25,"['P Kulkarni', 'W Thies', 'A Misra', 'C Rai', 'K Paul', 'VN Padmanabhan', 'P Ramanathan', 'T Goyal', 'N Vankadhara', 'O Shafi', 'A Rai', 'R Kalyanaraman', 'E Cutrell', 'IA Qazi', 'M Balakrishnan', 'P Druschel', 'P Sharma', 'S Sengupta', 'R Benenson', 'S Chhaya', 'HA Pirzada', 'A Vikas', 'MS Chauhan', 'A Cross', 'S Kulkarni', 'GS Sidhu', 'K Jayarajah', 'P Garg', 'R Sen', 'S Garg', 'A Vashistha', 'A Maurya', 'P Aditya', 'A Singh', 'A Phokeer', 'B Schiele', 'M Fritz', 'S Roy', 'P Singh', 'R Mehta', '...', 'D Choffnes', 'K Chintalapudi', 'RK Balan', 'P Siriah', 'KK Chintalapudi', 'S Ahmad', 'R Malik', 'Y Lee', 'M Lentz', 'R Kedia', 'S Joon Oh', 'V Sevani', 'LK Singh', 'B Raman', 'ZA Farooq', 'A Prateek', 'Z Koradia', 'B Bhattacharjee', 'S Goel', 'M Khemka', 'G Ananthanarayanan']"
Sayan Ranu,Machine learning for graphs,2769,27,52,"['Z Huang', 'A Prasad', 'S Bedathur', 'T Can', 'P Kala', 'AD Telang', 'A Dhawan', 'S Gurukar', 'R Bhatt', 'Y Sabharwal', 'N Goyal', 'P Deshpande', 'S Bishnoi', 'S Manchanda', 'S Grover', 'M Hoang', 'R Bhattoo', 'NM Krishnan', 'AK Singh', 'S Galhotra', 'AP Singh', 'HV Jain', 'S Wadhwa', 'S Ranu', 'P Karia', 'A Mittal', 'S Medya', 'A Singh', 'A Bagchi', 'P Banerjee', 'A Arora', 'S Goyal', 'O Camoglu', 'M Kosan', 'N Garg', 'V Chaoji', 'P Deepak', 'R Ranjan', 'R Rastogi', 'A Thangamuthu', 'S Raghavan', 'G Kumar', 'M Joshi', 'H He', 'B Ravindran', 'V Chakaravarthy', 'CF Yuen', 'P Yawalkar']"
Soham Sundar Chakraborty,"Compiler, Memory Consistency Model, Programming Language, Software Engineering",616,11,14,"['A Goens', 'VS Sinha', 'S Sinha', 'SH Lee', 'VK Nandivada', 'S Agarwal', 'R Morisset', 'J Ruehl', 'M Gao', 'N Oswald', 'M Fink', 'A Sezgin', 'P Dhoolia', 'BK Ozkan', 'R Kumar', 'S Chakraborty', 'S Sarkar', 'M Cho', 'HC Tunç', 'SS Chakraborty', 'D Sprokholt', 'T Spink', 'R Gouicem', 'T Balabonski', 'PA Abdulla', 'R Meyer', 'TA Henzinger', 'RCO Rocha', 'A Sankar', '...', 'CK Hur', 'A Podkopaev', 'D Mukherjee', 'V Nagarajan', 'PK Chittimalli', 'O Lahav', 'F Zappa Nardelli', 'S Krishna', 'U Mathur', 'S Mani', 'A Godbole', 'V Vafeiadis', 'V Shah']"
Subodh Sharma,"Formal Verification, Program Analysis, Concurrency",1596,14,15,"['SV Sharma', 'Y Tsutsumi', 'G Narayanaswamy', 'S Agrawal', 'L Ma', 'R Thakur', 'D Gaurav', 'S Banerjee', 'A Vo', 'M Dhawan', 'E Mercer', 'Y Yang', 'P Schrammel', 'S Aananthakrishnan', 'J Holt', 'R Bose', 'G Gopalakrishnan', 'G Bronevetsky', 'D Khanna', 'SS Vakkalanka', 'D Kroening', 'C Rodríguez', 'R Purandare', 'S Sharma', 'A Goel', 'M Sousa', 'M Chaturvedi', 'V Forejt', '...', 'Y Okada', 'N Jain', 'Y Nishida', 'A Rajan', 'S Vakkalanka', 'RM Kirby', 'S Kalra', 'K Kaneko', 'K Sakurai', 'S Goel', 'S Kulshrestha', 'R Jain']"
Keerti Choudhary,Graph Theory and Algorithms,383,11,12,"['SR Chaudhury', 'S Chechik', 'M Schirneck', 'S Khan', 'L Gualà', 'S Krogmann', 'S Cohen', 'G Proietti', 'A Cohen', 'IV Hicks', 'S Baswana', 'D Rawitz', 'M Hussain', 'O Gold', 'J Augustine', 'K Choudhary', 'L Roditty', 'S Sivasubramaniam', '...', 'K Casel', 'D Bilò', 'D Chakraborty', 'D Peleg', 'S Margulies', 'JA Lagodzinski', 'T Friedrich', 'A Bar-Noy', 'M Parter', 'S Leucci']"
Venkata Koppula,Cryptography,1289,18,24,"['T Vidick', 'B Waters', 'V Goyal', 'O Pandey', 'A Sahai', 'A Deshpande', 'K Ramchen', 'Z Brakerski', 'V Koppula', 'R Goyal', 'A Russell', 'U Vazirani', 'A Kamath', 'T Mour', 'D Hofheinz', 'AB Lewko', 'A Jain', 'S Hohenberger', 'Y Rouselakis']"
Kaustubh Beedkar,"data management, data systems, compliant query processing, cross-platform data processing",160,8,6,"['T Stullich', 'V Markl', 'JA Quiané-Ruiz', 'H Gavriilidis', 'D Shah', 'LD Corro', 'L Rose', 'K Beedkar', 'A Sampath', 'J von Bleichert', 'R Gemulla', 'D Brekardin', 'A Souza', 'I Miliaraki', 'S Galhotra', 'S Redyuk', 'D Giouroukis', 'F Gutierrez', 'W Martens', '...', 'L Behme', 'Y Grigorov', 'A Jain', 'Z Kaoudi', 'J Ziegler', 'J Hülsmann', 'R Poepsel-Lemaitre', 'A Renz-Wieland', 'K Berberich', 'B Contreras-Rojas', 'M Geldenhuys']"
Abhijnan Chakraborty,"Responsible AI, Social Computing, Information Retrieval, AI for Social Good",2491,22,36,"['N Ganguly', 'P Loiseau', 'A Mukherjee', 'T Sühr', 'A Chakraborty', 'L Henrique', 'A Singla', 'A Biswas', 'B Paranjape', 'VN Padmanabhan', 'KP Gummadi', 'M Babaei', 'K Gummadi', 'A Hannak', 'GK Patro', 'A Mrigen', 'S Ghosh', 'A Shandilya', 'B Mirzasoleiman', 'A Dash', 'V Navda', 'J Kulshrestha', 'R Sarkar', 'M Cha', 'K Ghosh', '...', 'R Ramjee', 'FN Ribeiro', 'EM Redmiles', 'J Messias', 'M Zehlike', 'AJ Biega', 'J Ali', 'F Benevenuto', 'S Kakarla']"
Rohit Vaish,"Algorithms and Economics, Artificial Intelligence, Computational Social Choice, Game Theory",1007,15,18,"['S Jain', 'H Narasimhan', 'AR Sricharan', 'S Agarwal', 'D Garg', 'F Umar', 'S Barman', 'J Payan', 'L Xia', 'U Bhaskar', 'SK Krishnamurthy', 'P Kanellopoulos', 'H Hosseini', 'R Vaish', 'N Haghtalab', 'N Shah', 'S Sikdar', 'H Aziz', 'P Jain', 'E Anshelevich', 'R Freeman', 'Z Fitzsimmons', '...', 'AD Procaccia', 'A Filos-Ratsikas', 'Y Narahari', 'H Wang', 'EB Procaccia', 'I Caragiannis', 'A Chatterjee', 'A Blum', 'G Ghalme', 'V Viswanathan', 'R Sengupta']"
Ashish Chiplunkar,Theoretical Computer Science,447,10,10,"['V Gabale', 'SN Krishna', 'Y Peres', 'N Touitou', 'M Vötsch', 'A Mousavifar', 'M Charikar', 'E Price', 'O Geri', 'A Bubna', 'J Kallaugher', 'C Jain', 'M Henzinger', 'J Hamza', 'N Ayyadevara', 'M Emmi', 'P Dutta', 'J Worrell', 'B Barak', 'A Bouajjani', '...', 'I Ashlagi', 'M Kapralov', 'MS Charikar', 'S Tirodkar', 'C Enea', 'SN Ramamoorthy', 'S Vishwanathan', 'S Kale', 'S Khanna', 'S Sudhir Kale', 'Y Azar', 'B Raman', 'A Chiplunkar', 'S Kutten', 'H Kaplan']"
